keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank,duplicate_of,market,collides_with_live_slug,prior_run_duplicate,note
uzaktaki sevgiliye ozlem mesajlari,c11-tr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,blog listicle,"1,000-3,000/mo",EST,3,,winnable-now,60,,tr,new-page,,none,88,evergreen,year-round,,,,tr,,,
ozledim demenin farkli yollari,c11-tr,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,"300-1,000/mo",EST,5,,winnable-now,40,,tr,new-page,,none,43,evergreen,year-round,,,,tr,,,
kata kata rindu untuk pacar jauh,c12-id,https://www.google.com/search?q=kata%20kata%20rindu%20untuk%20pacar%20jauh,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational-commercial,blog listicle,"10,000+/mo",EST,1,,hard-differentiator-only,40,,id,new-page,,none,90,evergreen,year-round,,,,id,,,"CNN Indonesia, Katadata, Kumparan, Liputan6, Merdeka, Sonora, Halodoc — only TikTok is weak"
kata kata kangen buat pacar ldr,c12-id,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"3,000-10,000/mo",EST,1,,hard-differentiator-only,32,,id,new-page,,none,29,evergreen,year-round,,,,id,,,
kangen kamu bahasa inggris,c12-id,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,id,new-page,,none,88,evergreen,year-round,,3,,id,,,
kangen kamu bahasa jawa,c12-id,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,id,new-page,,none,88,evergreen,year-round,,4,,id,,,
aku rindu kamu bahasa mandarin,c12-id,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,4,,winnable-now,24,,id,new-page,,none,29,evergreen,year-round,,4,,id,,,
cara bilang kangen tanpa bilang kangen,c12-id,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,"300-1,000/mo",EST,5,,winnable-now,40,,id,new-page,,none,43,evergreen,year-round,,,,id,,,
miss kita in bisaya,c13-ph,https://www.google.com/search?q=miss%20kita%20in%20bisaya,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational,explainer + phrasebook,"1,000-3,000/mo",EST,8,,winnable-now,45,,ph,new-page,,none,132,evergreen,year-round,,5,,ph,,,"weak: mymemory, tiktok x2, wordreference forum, wikipedia x3, wordhippo, medium"
miss kita in ilocano,c13-ph,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"300-1,000/mo",EST,8,,winnable-now,30,,ph,new-page,,none,43,evergreen,year-round,,3,,ph,,,
miss kita in waray,c13-ph,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"300-1,000/mo",EST,8,,winnable-now,30,,ph,new-page,,none,43,evergreen,year-round,,4,,ph,,,
miss kita in bicol,c13-ph,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"300-1,000/mo",EST,8,,winnable-now,30,,ph,new-page,,none,43,evergreen,year-round,,3,,ph,,,
miss na miss kita meaning,c13-ph,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,8,,winnable-now,45,,ph,new-page,,none,132,evergreen,year-round,,4,,ph,,,
i miss you in tagalog translation,c13-ph,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer + phrasebook,"1,000-3,000/mo",EST,6,,winnable-now,45,,ph,new-page,,none,132,evergreen,year-round,,,,ph,,,
sweet miss you message tagalog for boyfriend,c13-ph,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,blog listicle,"1,000-3,000/mo",EST,5,,winnable-now,75,,ph,new-page,,none,132,evergreen,year-round,,,,ph,,,
why is there no tagalog word for miss,c13-ph,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,under 300/mo,EST,8,,winnable-now,10,,ph,new-page,,none,10,evergreen,year-round,,,,ph,,,the loanword finding: 'miss' is English in every Philippine language
skuchayu po tebe svoimi slovami,c14-ru,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,ru,new-page,,none,88,evergreen,year-round,,,,ru,,,romanised here for CSV safety; native form in shortlist.md
skuchayu po tebe sms lyubimomu,c14-ru,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,ru,new-page,,none,88,evergreen,year-round,,,,ru,,,
skuchayu po tebe ili za toboy kak pravilno,c14-ru,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,20,,ru,new-page,,none,43,evergreen,year-round,,,,ru,,,the по/за case dispute — a real usage question
skuchayu po tebe na angliyskom,c14-ru,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,4,,winnable-now,24,,ru,new-page,,none,29,evergreen,year-round,,,,ru,,,
skuchayu po tebe v proze,c14-ru,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"300-1,000/mo",EST,4,,winnable-now,24,,ru,new-page,,none,29,evergreen,year-round,,,,ru,,,
aitai in english how to say,c15-asia,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,asia,new-page,,none,88,evergreen,year-round,,,,jp,,,"会いたい is 'I want to see you', not 'I miss you' — the language has no direct equivalent"
aitai tte iwareta toki no kaeshikata,c15-asia,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,how-to guide,"300-1,000/mo",EST,5,,winnable-now,40,,asia,new-page,,none,43,evergreen,year-round,,,,jp,,,"reply intent, same shape as the Turkish winner"
bogoshipda in english meaning,c15-asia,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,asia,new-page,,none,88,evergreen,year-round,,,,kr,,,
bogoshipda vs bogosipeo difference,c15-asia,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,20,,asia,new-page,,none,43,evergreen,year-round,,,,kr,,,
ishtaqtu ilayka in english,c15-asia,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,36,,asia,new-page,,none,88,evergreen,year-round,,,,sa,,,Arabic harvest is thin: the script's a-z prefixes do not expand Arabic stems
how to say i miss you in arabic to a woman,c15-asia,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,30,,asia,new-page,,none,43,evergreen,year-round,,,,sa/us,,,Arabic marks the addressee's gender — اشتقت إليكِ vs إليكَ
wo xiang ni meaning in english,c15-asia,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,4,,winnable-now,24,,asia,new-page,,none,29,evergreen,year-round,,,,cn/us,,,
miss you in vietnamese anh nho em,c15-asia,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,30,,asia,new-page,,none,43,evergreen,year-round,,,,vn/us,,,
miss you appa quotes in tamil,c16-in,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,in,merge-into-existing,https://subhsandesh.in/blog/i-miss-you-in-tamil-words,unmeasured-live-page,88,evergreen,year-round,,5,,in,i-miss-you-in-tamil-words,,'appa' surfaced under 12 different prefixes — the strongest India signal not already built
miss you appa quotes in kannada,c16-in,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"1,000-3,000/mo",EST,4,,winnable-now,48,,in,new-page,,none,88,evergreen,year-round,,12,,in,,miss you appa quotes in kannada,
i miss you amma quotes in tamil,c16-in,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational-commercial,blog listicle,"300-1,000/mo",EST,4,,winnable-now,32,,in,merge-into-existing,https://subhsandesh.in/blog/i-miss-you-in-tamil-words,unmeasured-live-page,29,evergreen,year-round,,,,in,i-miss-you-in-tamil-words,,
i miss you in sanskrit,c16-in,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,20,,in,new-page,,none,43,evergreen,year-round,,,,in,,,
miss you quotes in nepali,c16-in,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"300-1,000/mo",EST,5,,winnable-now,30,,in,new-page,,none,43,evergreen,year-round,,,,in/np,,,
miss you status in bhojpuri,c16-in,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,under 300/mo,EST,5,,winnable-now,15,,in,new-page,,none,10,evergreen,year-round,,,,in,,,
i miss you in sinhala,c16-in,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,30,,in,new-page,,none,43,evergreen,year-round,,,,lk,,,
i miss you in kurdish,c16-in,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,30,,in,new-page,,none,43,evergreen,year-round,,,,tr/iq,,,
miss you shayari with english translation,c16-in,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,blog listicle,"300-1,000/mo",EST,4,,winnable-now,24,,in,new-page,,none,29,evergreen,year-round,,,,in,,,
i miss you gif for him,c17-format,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,image gallery,"1,000-3,000/mo",EST,4,,winnable-now,24,,format,new-page,,none,88,evergreen,year-round,,1,,us/gb,,,copy-and-leave intent — low conversion by Gate 5
i miss you meme funny,c17-format,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,image gallery,"1,000-3,000/mo",EST,3,gate5-copy-and-leave,winnable-now,12,,format,merge-into-existing,https://subhsandesh.in/blog/i-miss-you-letter-generator,unmeasured-live-page,88,evergreen,year-round,,,,us/gb,i-miss-you-letter-generator,,
miss you text art copy paste,c17-format,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,tool page,"300-1,000/mo",EST,4,,winnable-now,16,,format,new-page,,none,29,evergreen,year-round,,,,us/gb,,,
i miss you in morse code,c17-format,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,under 300/mo,EST,5,,winnable-now,10,,format,new-page,,none,10,evergreen,year-round,,,,us/gb,,,
i miss you in sign language,c17-format,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"1,000-3,000/mo",EST,4,,winnable-now,24,,format,new-page,,none,88,evergreen,year-round,,3,,us/gb,,,
miss you number code meaning,c17-format,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,informational,explainer,"300-1,000/mo",EST,5,,winnable-now,20,,format,new-page,,none,43,evergreen,year-round,,,,us/gb,,,
i miss you website for him,c18-product,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,product landing,"300-1,000/mo",EST,5,,own-it-already,50,,product,improve-existing,https://subhsandesh.in/blog/how-to-make-an-i-miss-you-website,unmeasured-live-page,43,evergreen,year-round,,,,us/gb/in,how-to-make-an-i-miss-you-website,,live: /blog/how-to-make-an-i-miss-you-website
send i miss you card online free,c18-product,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,product landing,"300-1,000/mo",EST,4,,own-it-already,40,,product,improve-existing,https://subhsandesh.in/blog/send-i-miss-you-card-online,unmeasured-live-page,29,evergreen,year-round,,,,us/gb/in,send-i-miss-you-card-online,,"live: /blog/send-i-miss-you-card-online; SERP held by sendwishonline, groupgreeting"
i miss you page maker with photo,c18-product,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,product landing,under 300/mo,EST,5,,own-it-already,25,,product,improve-existing,https://subhsandesh.in/blog/i-miss-you-page-maker-for-her,unmeasured-live-page,10,evergreen,year-round,,,,us/gb/in,i-miss-you-page-maker-for-her,,live: /blog/i-miss-you-page-maker-for-her
miss you video maker with music,c18-product,,inferred from the measured SERP of this cluster,SERP-ARCHETYPE,transactional,product landing,"300-1,000/mo",EST,4,,own-it-already,40,,product,improve-existing,https://subhsandesh.in/blog/miss-you-video-maker-with-photos,unmeasured-live-page,29,evergreen,year-round,,,,us/gb/in,miss-you-video-maker-with-photos,,live: /blog/miss-you-video-maker-with-photos
we will miss you card template for colleague,c18-product,https://www.google.com/search?q=we%20will%20miss%20you%20card%20template%20for%20colleague,"google.com (US-served, WebSearch 2026-09-25)",SERP-MEASURED,informational,blog listicle,"3,000-10,000/mo",EST,0,gate4-zero-weak-results,do-not-attempt,12,,product,skip,,none,0,evergreen,year-round,,,,us/gb,,,"greetpool, groupgreeting, groupcards.app, ecardforest, canva, adobe — zero weak results"
